years,popChange,gdpChange,afterGdp,afterPopulation,beforePercent,flagChina,flagEU30,flagNafta,flagRow,flagRecycling,flagIncineration,flagLandfill,flagMismanaged,afterPercent,beforeYear,afterYear
1,0.00564183926406405,0.0620083197627991,19006.9577954098,1397.636,0.3353,1,0,0,0,1,0,0,0,0.3176,2015,2016
1,0.00608670640996659,0.0625326755529145,20318.4378832931,1406.143,0.2473,1,0,0,0,0,1,0,0,0.2883,2016,2017
1,0.00608670640996659,0.0625326755529145,20318.4378832931,1406.143,0.3977,1,0,0,0,0,0,1,0,0.41,2016,2017
1,0.00608670640996659,0.0625326755529145,20318.4378832931,1406.143,0.0374,1,0,0,0,0,0,0,1,0.0347,2016,2017
1,0.00608670640996659,0.0625326755529145,20318.4378832931,1406.143,0.3176,1,0,0,0,1,0,0,0,0.267,2016,2017
1,0.00587849173234876,0.0607643057983916,21679.7732214737,1414.409,0.2883,1,0,0,0,0,1,0,0,0.3261,2017,2018
1,0.00587849173234876,0.0607643057983916,21679.7732214737,1414.409,0.41,1,0,0,0,0,0,1,0,0.3748,2017,2018
1,0.00587849173234876,0.0607643057983916,21679.7732214737,1414.409,0.0347,1,0,0,0,0,0,0,1,0.0292,2017,2018
1,0.00587849173234876,0.0607643057983916,21679.7732214737,1414.409,0.267,1,0,0,0,1,0,0,0,0.27,2017,2018
1,0.00376199529273351,0.0560272305297477,22980.5596147621,1419.73,0.3261,1,0,0,0,0,1,0,0,0.3521,2018,2019
1,0.00376199529273351,0.0560272305297477,22980.5596147621,1419.73,0.3748,1,0,0,0,0,0,1,0,0.3166,2018,2019
1,0.00376199529273351,0.0560272305297477,22980.5596147621,1419.73,0.0292,1,0,0,0,0,0,0,1,0.0313,2018,2019
1,0.00376199529273351,0.0560272305297477,22980.5596147621,1419.73,0.27,1,0,0,0,1,0,0,0,0.3,2018,2019
1,0.00300620540525313,0.0199338692891409,23509.1124859016,1423.998,0.3521,1,0,0,0,0,1,0,0,0.3667,2019,2020
1,0.00300620540525313,0.0199338692891409,23509.1124859016,1423.998,0.3166,1,0,0,0,0,0,1,0,0.35,2019,2020
1,0.00300620540525313,0.0199338692891409,23509.1124859016,1423.998,0.0313,1,0,0,0,0,0,0,1,0.0167,2019,2020
1,0.00300620540525313,0.0199338692891409,23509.1124859016,1423.998,0.3,1,0,0,0,1,0,0,0,0.2667,2019,2020
1,0.00150666806509109,0.0231058559914667,245.89761661664,496.543,0.227,0,1,0,0,0,1,0,0,0.2418,1999,2000
1,0.00150666806509109,0.0231058559914667,245.89761661664,496.543,0.5358,0,1,0,0,0,0,1,0,0.4923,1999,2000
1,0.00150666806509109,0.0231058559914667,245.89761661664,496.543,0.1249,0,1,0,0,0,0,0,1,0.1369,1999,2000
1,0.00150666806509109,0.0231058559914667,245.89761661664,496.543,0.1123,0,1,0,0,1,0,0,0,0.129,1999,2000
1,0.00248115470362078,0.0495421725347537,258.7202549693,497.775,0.2418,0,1,0,0,0,1,0,0,0.2542,2000,2001
1,0.00248115470362078,0.0495421725347537,258.7202549693,497.775,0.4923,0,1,0,0,0,0,1,0,0.4693,2000,2001
1,0.00248115470362078,0.0495421725347537,258.7202549693,497.775,0.1369,0,1,0,0,0,0,0,1,0.1352,2000,2001
1,0.00248115470362078,0.0495421725347537,258.7202549693,497.775,0.129,0,1,0,0,1,0,0,0,0.1413,2000,2001
1,0.00192858219074891,0.0549948829332604,273.474948806878,498.735,0.2542,0,1,0,0,0,1,0,0,0.263,2001,2002
1,0.00192858219074891,0.0549948829332604,273.474948806878,498.735,0.4693,0,1,0,0,0,0,1,0,0.4624,2001,2002
1,0.00192858219074891,0.0549948829332604,273.474948806878,498.735,0.1352,0,1,0,0,0,0,0,1,0.121,2001,2002
1,0.00192858219074891,0.0549948829332604,273.474948806878,498.735,0.1413,0,1,0,0,1,0,0,0,0.1537,2001,2002
1,0.00326225350135834,0.0200837226091687,279.877406013411,500.362,0.263,0,1,0,0,0,1,0,0,0.2792,2002,2003
1,0.00326225350135834,0.0200837226091687,279.877406013411,500.362,0.4624,0,1,0,0,0,0,1,0,0.4634,2002,2003
1,0.00326225350135834,0.0200837226091687,279.877406013411,500.362,0.121,0,1,0,0,0,0,0,1,0.0894,2002,2003
1,0.00326225350135834,0.0200837226091687,279.877406013411,500.362,0.1537,0,1,0,0,1,0,0,0,0.168,2002,2003
1,0.00352944468205001,0.0990982768967135,308.698476963428,502.128,0.2792,0,1,0,0,0,1,0,0,0.2921,2003,2004
1,0.00352944468205001,0.0990982768967135,308.698476963428,502.128,0.4634,0,1,0,0,0,0,1,0,0.4644,2003,2004
1,0.00352944468205001,0.0990982768967135,308.698476963428,502.128,0.0894,0,1,0,0,0,0,0,1,0.0662,2003,2004
1,0.00352944468205001,0.0990982768967135,308.698476963428,502.128,0.168,0,1,0,0,1,0,0,0,0.1773,2003,2004
1,0.00403881082114536,0.00376446636630763,311.112030188128,504.156,0.2921,0,1,0,0,0,1,0,0,0.2866,2004,2005
1,0.00403881082114536,0.00376446636630763,311.112030188128,504.156,0.4644,0,1,0,0,0,0,1,0,0.4762,2004,2005
1,0.00403881082114536,0.00376446636630763,311.112030188128,504.156,0.0662,0,1,0,0,0,0,0,1,0.0593,2004,2005
1,0.00403881082114536,0.00376446636630763,311.112030188128,504.156,0.1773,0,1,0,0,1,0,0,0,0.1779,2004,2005
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0.2866,0,1,0,0,0,1,0,0,0.2857,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0.4762,0,1,0,0,0,0,1,0,0.4735,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0.0593,0,1,0,0,0,0,0,1,0.049,2005,2006
1,0.00360602670601953,0.0125988799440291,316.167706004914,505.974,0.1779,0,1,0,0,1,0,0,0,0.1918,2005,2006
1,0.00400415831643514,0.0331752803200341,327.964643254639,508.0,0.2857,0,1,0,0,0,1,0,0,0.2927,2006,2007
1,0.00400415831643514,0.0331752803200341,327.964643254639,508.0,0.4735,0,1,0,0,0,0,1,0,0.4785,2006,2007
1,0.00400415831643514,0.0331752803200341,327.964643254639,508.0,0.049,0,1,0,0,0,0,0,1,0.0256,2006,2007
1,0.00400415831643514,0.0331752803200341,327.964643254639,508.0,0.1918,0,1,0,0,1,0,0,0,0.2033,2006,2007
1,0.0049862204724412,0.0201025544275266,336.225748152439,510.533,0.2927,0,1,0,0,0,1,0,0,0.2972,2007,2008
1,0.0049862204724412,0.0201025544275266,336.225748152439,510.533,0.4785,0,1,0,0,0,0,1,0,0.481,2007,2008
1,0.0049862204724412,0.0201025544275266,336.225748152439,510.533,0.0256,0,1,0,0,0,0,0,1,0.013,2007,2008
1,0.0049862204724412,0.0201025544275266,336.225748152439,510.533,0.2033,0,1,0,0,1,0,0,0,0.2088,2007,2008
1,0.00438757142045657,-0.049341115312794,321.038420497197,512.773,0.2972,0,1,0,0,0,1,0,0,0.3154,2008,2009
1,0.00438757142045657,-0.049341115312794,321.038420497197,512.773,0.481,0,1,0,0,0,0,1,0,0.4242,2008,2009
1,0.00438757142045657,-0.049341115312794,321.038420497197,512.773,0.013,0,1,0,0,0,0,0,1,0.0322,2008,2009
1,0.00438757142045657,-0.049341115312794,321.038420497197,512.773,0.2088,0,1,0,0,1,0,0,0,0.2282,2008,2009
